Variable||Units||Description||Members
NEE_CUT_XX_QC||adimensional||Quality flag for NEE_CUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_VUT_REF||gC m-2 d-1||Net Ecosystem Exchange of CO2, using Variable Ustar Threshold (CUT) across years, most representative realization across up to 40 NEE_VUT versions (average of daily values) selected on the basis of the model efficiency approach (MEF)||(FC)(NEE)
NEE_VUT_REF_QC||adimensional||Quality flag for NEE_VUT_REF, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_VUT_REF_RANDUNC||gC m-2 d-1||Random uncertainty for NEE_VUT_REF, from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used||(FC)(NEE)
NEE_VUT_REF_JOINTUNC||gC m-2 d-1||Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each month||(FC)(NEE)
NEE_VUT_USTAR50||gC m-2 d-1||Net Ecosystem Exchange of CO2, using Variable Ustar Threshold (CUT) across years, obtained from the 50th percentile of USTAR thresholds. Average from daily data||(FC)(NEE)
NEE_VUT_USTAR50_QC||adimensional||Quality flag for NEE_VUT_USTAR50, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_VUT_USTAR50_RANDUNC||gC m-2 d-1||Random uncertainty for NEE_VUT_USTAR50, calculated from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used||(FC)(NEE)
NEE_VUT_USTAR50_JOINTUNC||gC m-2 d-1||Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each month||(FC)(NEE)
NEE_VUT_MEAN||gC m-2 d-1||Net Ecosystem Exchange of CO2, using Variable Ustar Threshold (CUT) across years, calculated as average of the up to 40 monthly NEE_VUT versions||(FC)(NEE)
NEE_VUT_MEAN_QC||adimensional||Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data from 40 monthly NEE_VUT used||
NEE_VUT_SE||gC m-2 d-1||Standard Error for NEE_VUT, calculated as SD(NEE_VUT) / SQRT(40) using the up to 40 monthly NEE_VUT versions||(FC)(NEE)
NEE_VUT_XX||gC m-2 d-1||XXth percentile from the up to 40 montly NEE_VUT percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_VUT_XX_QC||adimensional||Quality flag for NEE_VUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_VUT_REF_NIGHT||µmolCO2 m-2 s-1||Average nighttime NEE, from NEE_VUT_REF calculated from daily nighttime data||(FC)(NEE)
NEE_VUT_REF_NIGHT_SD||µmolCO2 m-2 s-1||Standard deviation of nighttime NEE, from NEE_VUT_REF calculated from daily nighttime data||(FC)(NEE)
NEE_VUT_REF_NIGHT_QC||adimensional||Quality flag for NEE_VUT_REF_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily nighttime data)||
NEE_VUT_REF_NIGHT_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_VUT_REF_NIGHT, from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day.||(FC)(NEE)
NEE_VUT_REF_NIGHT_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_VUT_REF_NIGHT, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_REF_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each montly||(FC)(NEE)
NEE_VUT_USTAR50_NIGHT||µmolCO2 m-2 s-1||Average nighttime NEE, from NEE_VUT_USTAR50 calculated from daily nighttime data||(FC)(NEE)
NEE_VUT_USTAR50_NIGHT_SD||µmolCO2 m-2 s-1||Standard deviation of nighttime NEE, from NEE_VUT_USTAR50 calculated from daily nighttime data||(FC)(NEE)
NEE_VUT_USTAR50_NIGHT_QC||adimensional||Quality flag for NEE_VUT_USTAR50_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily nighttime data)||
NEE_VUT_USTAR50_NIGHT_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_VUT_USTAR50_NIGHT, from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day.||(FC)(NEE)
NEE_VUT_USTAR50_NIGHT_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_VUT_USTAR50_NIGHT, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_VUT_84_NIGHT - NEE_VUT_16_NIGHT) / 2)^2)] for each montly||(FC)(NEE)
NEE_VUT_XX_NIGHT||µmolCO2 m-2 s-1||XXth nighttime percentile from the up to 40 monthly NEE_VUT_NIGHT percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_VUT_XX_NIGHT_QC||adimensional||Quality flag for NEE_VUT_XX_NIGHT -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_CUT_REF_NIGHT||µmolCO2 m-2 s-1||Average nighttime NEE, from NEE_CUT_REF calculated from daily nighttime data||(FC)(NEE)
NEE_CUT_REF_NIGHT_SD||µmolCO2 m-2 s-1||Standard deviation of nighttime NEE, from NEE_CUT_REF calculated from daily nighttime data||(FC)(NEE)
NEE_CUT_REF_NIGHT_QC||adimensional||Quality flag for NEE_CUT_REF_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily nighttime data)||
NEE_CUT_REF_NIGHT_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_CUT_REF_NIGHT, from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day.||(FC)(NEE)
NEE_CUT_REF_NIGHT_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_CUT_REF_NIGHT, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_REF_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each montly||(FC)(NEE)
NEE_CUT_USTAR50_NIGHT||µmolCO2 m-2 s-1||Average nighttime NEE, from NEE_CUT_USTAR50 calculated from daily nighttime data||(FC)(NEE)
NEE_CUT_USTAR50_NIGHT_SD||µmolCO2 m-2 s-1||Standard deviation of nighttime NEE, from NEE_CUT_USTAR50 calculated from daily nighttime data||(FC)(NEE)
NEE_CUT_USTAR50_NIGHT_QC||adimensional||Quality flag for NEE_CUT_USTAR50_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily nighttime data)||
NEE_CUT_USTAR50_NIGHT_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_CUT_USTAR50_NIGHT, from random uncertainty of individual half-hours where NIGHT is 1 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the nighttime aggregation in the day.||(FC)(NEE)
NEE_CUT_USTAR50_NIGHT_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_CUT_USTAR50_NIGHT, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_USTAR50_NIGHT_RANDUNC^2 + ((NEE_CUT_84_NIGHT - NEE_CUT_16_NIGHT) / 2)^2)] for each montly||(FC)(NEE)
NEE_CUT_XX_NIGHT||µmolCO2 m-2 s-1||XXth nighttime percentile from the up to 40 monthly NEE_CUT_NIGHT percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_CUT_XX_NIGHT_QC||adimensional||Quality flag for NEE_CUT_XX_NIGHT -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_VUT_REF_DAY||µmolCO2 m-2 s-1||Average daytime NEE, from NEE_VUT_REF calculated from daily daytime data||(FC)(NEE)
NEE_VUT_REF_DAY_SD||µmolCO2 m-2 s-1||Standard deviation of daytime NEE, from NEE_VUT_REF calculated from daily daytime data||(FC)(NEE)
NEE_VUT_REF_DAY_QC||adimensional||Quality flag for NEE_VUT_REF_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily daytime data)||
NEE_VUT_REF_DAY_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_VUT_REF_DAY, from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day.||(FC)(NEE)
NEE_VUT_REF_DAY_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_VUT_REF_DAY, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_REF_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2)] for each montly||(FC)(NEE)
NEE_VUT_USTAR50_DAY||µmolCO2 m-2 s-1||Average daytime NEE, from NEE_VUT_USTAR50 calculated from daily daytime data||(FC)(NEE)
NEE_VUT_USTAR50_DAY_SD||µmolCO2 m-2 s-1||Standard deviation of daytime NEE, from NEE_VUT_USTAR50 calculated from daily daytime data||(FC)(NEE)
NEE_VUT_USTAR50_DAY_QC||adimensional||Quality flag for NEE_VUT_USTAR50_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily daytime data)||
NEE_VUT_USTAR50_DAY_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_VUT_USTAR50_DAY, from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day.||(FC)(NEE)
NEE_VUT_USTAR50_DAY_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_VUT_USTAR50_DAY, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_USTAR50_DAY_RANDUNC^2 + ((NEE_VUT_84_DAY - NEE_VUT_16_DAY) / 2)^2)] for each montly||(FC)(NEE)
NEE_VUT_XX_DAY||µmolCO2 m-2 s-1||XXth daytime percentile from the up to 40 monthly NEE_VUT_DAY percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_VUT_XX_DAY_QC||adimensional||Quality flag for NEE_VUT_XX_DAY -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
NEE_CUT_REF_DAY||µmolCO2 m-2 s-1||Average daytime NEE, from NEE_CUT_REF calculated from daily daytime data||(FC)(NEE)
NEE_CUT_REF_DAY_SD||µmolCO2 m-2 s-1||Standard deviation of daytime NEE, from NEE_CUT_REF calculated from daily daytime data||(FC)(NEE)
NEE_CUT_REF_DAY_QC||adimensional||Quality flag for NEE_CUT_REF_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily daytime data)||
NEE_CUT_REF_DAY_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_CUT_REF_DAY, from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day.||(FC)(NEE)
NEE_CUT_REF_DAY_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_CUT_REF_DAY, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_REF_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each montly||(FC)(NEE)
NEE_CUT_USTAR50_DAY||µmolCO2 m-2 s-1||Average daytime NEE, from NEE_CUT_USTAR50 calculated from daily daytime data||(FC)(NEE)
NEE_CUT_USTAR50_DAY_SD||µmolCO2 m-2 s-1||Standard deviation of daytime NEE, from NEE_CUT_USTAR50 calculated from daily daytime data||(FC)(NEE)
NEE_CUT_USTAR50_DAY_QC||adimensional||Quality flag for NEE_CUT_USTAR50_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily daytime data)||
NEE_CUT_USTAR50_DAY_RANDUNC||µmolCO2 m-2 s-1||Random uncertainty for NEE_CUT_USTAR50_DAY, from random uncertainty of individual half-hours where NIGHT is 0 (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used to calculate the daytime aggregation in the day.||(FC)(NEE)
NEE_CUT_USTAR50_DAY_JOINTUNC||µmolCO2 m-2 s-1||Joint uncertainty estimation for NEE_CUT_USTAR50_DAY, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_USTAR50_DAY_RANDUNC^2 + ((NEE_CUT_84_DAY - NEE_CUT_16_DAY) / 2)^2)] for each montly||(FC)(NEE)
NEE_CUT_XX_DAY||µmolCO2 m-2 s-1||XXth daytime percentile from the up to 40 monthly NEE_CUT_DAY percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_CUT_XX_DAY_QC||adimensional||Quality flag for NEE_CUT_XX_DAY -- XX = 05, 16, 25, 50, 75, 84, 95. Fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)||
RECO_NT_VUT_REF||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method,most representative realization across up to 40 RECO_VUT versions, average of daily data, using model efficiency approach (MEF).||(FC)(NEE)
RECO_NT_VUT_USTAR50||gC m-2 d-1||Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50, average of daily data||(FC)(NEE)
