Variable||Units||Description||Members
EBC_CF_N||adimensional||Number of data points used to calculate energy closure balance correction factor. Driver data points within sliding window (ECB_CF Method 1, minimum 5, maximum 93) or number of ECB_CF data points (for ECB_CF Methods 2 and 3)||
EBC_CF_METHOD||adimensional||Method used to calculate the energy balance closure correction factor. 1 = ECB_CF Method 1, 2 = ECB_CF Method 2, 3 = ECB_CF Method 3. See general description for details||
NIGHT||adimensional||Flag indicating nighttime interval based on SW_IN_POT. 0 = daytime, 1 = nighttime||
NEE_CUT_REF||�molCO2 m-2 s-1||Net Ecosystem Exchange of CO2, using Constant Ustar Threshold (CUT) across years, most representative realization across up to 40 NEE_CUT versions, selected on the basis of the model efficiency approach (MEF)||(FC)(NEE)
NEE_VUT_REF||�molCO2 m-2 s-1||Net Ecosystem Exchange of CO2, using Variable Ustar Threshold (VUT) for each year, most representative realization across up to 40 NEE_VUT versions, selected on the basis of the model efficiency (MEF)||(FC)(NEE)
NEE_CUT_REF_QC||adimensional||Quality flag for NEE_CUT_REF. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor||
NEE_VUT_REF_QC||adimensional||Quality flag for NEE_VUT_REF. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor||
NEE_CUT_REF_RANDUNC||�molCO2 m-2 s-1||Random uncertainty for NEE_CUT_REF, based only on data points where NEE_CUT_REF_QC is 0 and two hierarchical methods - see documentation and NEE_CUT_REF_RANDUNC_METHOD||(FC)(NEE)
NEE_VUT_REF_RANDUNC||�molCO2 m-2 s-1||Random uncertainty for NEE_VUT_REF, based only on data points where NEE_VUT_REF_QC is 0 and two hierarchical methods - see documentation and NEE_VUT_REF_RANDUNC_METHOD||(FC)(NEE)
NEE_CUT_REF_RANDUNC_METHOD||adimensional||Method used to estimate the random uncertainty of NEE_CUT_REF. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)||
NEE_VUT_REF_RANDUNC_METHOD||adimensional||Method used to estimate the random uncertainty of NEE_VUT_REF.1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)||
NEE_CUT_REF_RANDUNC_N||adimensional||Number of half-hourly data points used to estimate the random uncertainty of NEE_CUT_REF||
NEE_VUT_REF_RANDUNC_N||adimensional||Number of half-hourly data points used to estimate the random uncertainty of NEE_VUT_REF||
NEE_CUT_REF_JOINTUNC||�molCO2 m-2 s-1||Joint uncertainty estimation for NEE_CUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_REF_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour||(FC)(NEE)
NEE_VUT_REF_JOINTUNC||�molCO2 m-2 s-1||Joint uncertainty estimation for NEE_VUT_REF, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_REF_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour||(FC)(NEE)
NEE_CUT_USTAR50||�molCO2 m-2 s-1||Net Ecosystem Exchange of CO2, using Constant Ustar Threshold (CUT) across years, obtained from the 50th percentile of USTAR thresholds||(FC)(NEE)
NEE_VUT_USTAR50||�molCO2 m-2 s-1||Net Ecosystem Exchange of CO2, using Variable Ustar Threshold (VUT) for each year, obtained from the 50th percentile of USTAR thresholds||(FC)(NEE)
NEE_CUT_USTAR50_QC||adimensional||Quality flag for NEE_CUT_USTAR50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor||
NEE_VUT_USTAR50_QC||adimensional||Quality flag for NEE_VUT_USTAR50. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor||
NEE_CUT_USTAR50_RANDUNC||�molCO2 m-2 s-1||Random uncertainty for NEE_CUT_USTAR50, based only on data points where NEE_CUT_USTAR50_QC is 0 and two hierarchical methods - see header and NEE_CUT_USTAR50_RANDUNC_METHOD||(FC)(NEE)
NEE_VUT_USTAR50_RANDUNC||�molCO2 m-2 s-1||Random uncertainty for NEE_VUT_USTAR50, based only on data points where NEE_VUT_USTAR50_QC is 0 and two hierarchical methods see header and NEE_VUT_USTAR50_RANDUNC_METHOD||(FC)(NEE)
NEE_CUT_USTAR50_RANDUNC_METHOD||adimensional||Method used to estimate the random uncertainty of NEE_CUT_USTAR50. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)||
NEE_VUT_USTAR50_RANDUNC_METHOD||adimensional||Method used to estimate the random uncertainty of NEE_VUT_USTAR50. 1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)||
NEE_CUT_USTAR50_RANDUNC_N||adimensional||Number of half-hourly data points used to estimate the random uncertainty of NEE_CUT_USTAR50||
NEE_VUT_USTAR50_RANDUNC_N||adimensional||Number of half-hourly data points used to estimate the random uncertainty of NEE_VUT_USTAR50||
NEE_CUT_USTAR50_JOINTUNC||�molCO2 m-2 s-1||Joint uncertainty estimation for NEE_CUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_CUT_USTAR50_RANDUNC^2 + ((NEE_CUT_84 - NEE_CUT_16) / 2)^2)] for each half-hour||(FC)(NEE)
NEE_VUT_USTAR50_JOINTUNC||�molCO2 m-2 s-1||Joint uncertainty estimation for NEE_VUT_USTAR50, including random uncertainty and USTAR filtering uncertainty. [SQRT(NEE_VUT_USTAR50_RANDUNC^2 + ((NEE_VUT_84 - NEE_VUT_16) / 2)^2)] for each half-hour||(FC)(NEE)
NEE_CUT_MEAN||�molCO2 m-2 s-1||Net Ecosystem Exchange of CO2, using Constant Ustar Threshold (CUT) across years, calculated as average of the up to 40 NEE_CUT versions||(FC)(NEE)
NEE_VUT_MEAN||�molCO2 m-2 s-1||Net Ecosystem Exchange, using Variable Ustar Threshold (VUT) for each year, calculated as average of the up to 40 NEE_VUT versions||(FC)(NEE)
NEE_CUT_MEAN_QC||adimensional||Quality flag for NEE_CUT_MEAN, fraction between 0-1 indicating percentage of good quality data from 40 half-hourly NEE_CUT used||
NEE_VUT_MEAN_QC||adimensional||Quality flag for NEE_VUT_MEAN, fraction between 0-1 indicating percentage of good quality data from 40 half-hourly NEE_VUT used||
NEE_CUT_SE||�molCO2 m-2 s-1||Standard Error for NEE_CUT, calculated as SD(NEE_CUT) / SQRT(40) using the up to 40 half-hourly NEE_CUT versions||(FC)(NEE)
NEE_VUT_SE||�molCO2 m-2 s-1||Standard Error for NEE_VUT, calculated as SD(NEE_VUT) / SQRT(40) using the up to 40 half-hourlyNEE_VUT versions||(FC)(NEE)
NEE_CUT_XX||�molCO2 m-2 s-1||XXth percentile from the up to 40 half-hourly NEE_CUT percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_VUT_XX||�molCO2 m-2 s-1||XXth percentile from the up to 40 half-hourly NEE_VUT percentiles (approx. percentile indicated by XX, see doc.) -- XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
NEE_CUT_XX_QC||adimensional||Quality flag for NEE_CUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor||
NEE_VUT_XX_QC||adimensional||Quality flag for NEE_VUT_XX -- XX = 05, 16, 25, 50, 75, 84, 95. 0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor||
RECO_NT_VUT_REF||�molCO2 m-2 s-1||Ecosystem Respiration, from Nighttime partitioning method,most representative realization across up to 40 RECO_VUT versions using model efficiency approach (MEF).||(FC)(NEE)
RECO_NT_VUT_USTAR50||�molCO2 m-2 s-1||Ecosystem Respiration, from Nighttime partitioning method, based on NEE_VUT_USTAR50.||(FC)(NEE)
RECO_NT_VUT_MEAN||�molCO2 m-2 s-1||Ecosystem Respiration, from Nighttime partitioning method, average from up to 40 half-hourly RECO_NT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
RECO_NT_VUT_SE||�molCO2 m-2 s-1||Standard Error for Ecosystem Respiration, calculated from up to 40 half-hourly RECO_NT_VUT versions as (SD(RECO_NT_VUT) / SQRT(40))||(FC)(NEE)
RECO_NT_VUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Ecosystem Respiration versions, from Nighttime partitioning method (RECO_NT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
RECO_NT_CUT_REF||�molCO2 m-2 s-1||Ecosystem Respiration, from Nighttime partitioning method,most representative realization across up to 40 RECO_CUT versions using model efficiency approach (MEF).||(FC)(NEE)
RECO_NT_CUT_USTAR50||�molCO2 m-2 s-1||Ecosystem Respiration, from Nighttime partitioning method, based on NEE_CUT_USTAR50||(FC)(NEE)
RECO_NT_CUT_MEAN||�molCO2 m-2 s-1||Ecosystem Respiration, from Nighttime partitioning method, average from up to 40 half-hourly RECO_NT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
RECO_NT_CUT_SE||�molCO2 m-2 s-1||Standard Error for Ecosystem Respiration, calculated from up to 40 half-hourly RECO_NT_CUT versions as (SD(RECO_NT_CUT) / SQRT(40))||(FC)(NEE)
RECO_NT_CUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Ecosystem Respiration versions, from Nighttime partitioning method (RECO_NT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_NT_VUT_REF||�molCO2 m-2 s-1||Gross Primary Production, from Nighttime partitioning method,most representative realization across up to 40 GPP_VUT versions using model efficiency approach (MEF).||(FC)(NEE)
GPP_NT_VUT_USTAR50||�molCO2 m-2 s-1||Gross Primary Production, from Nighttime partitioning method, based on NEE_VUT_USTAR50||(FC)(NEE)
GPP_NT_VUT_MEAN||�molCO2 m-2 s-1||Gross Primary Production, from Nighttime partitioning method, average from up to 40 half-hourly GPP_NT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
GPP_NT_VUT_SE||�molCO2 m-2 s-1||Standard Error for Gross Primary Production, calculated from up to 40 half-hourly GPP_NT_VUT versions as (SD(GPP_NT_VUT) / SQRT(40))||(FC)(NEE)
GPP_NT_VUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Gross Primary Production versions, from Nighttime partitioning method (GPP_NT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_NT_CUT_REF||�molCO2 m-2 s-1||Gross Primary Production, from Nighttime partitioning method,most representative realization across up to 40 GPP_CUT versions using model efficiency approach (MEF).||(FC)(NEE)
GPP_NT_CUT_USTAR50||�molCO2 m-2 s-1||Gross Primary Production, from Nighttime partitioning method, based on NEE_CUT_USTAR50||(FC)(NEE)
GPP_NT_CUT_MEAN||�molCO2 m-2 s-1||Gross Primary Production, from Nighttime partitioning method, average from up to 40 half-hourly GPP_NT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
GPP_NT_CUT_SE||�molCO2 m-2 s-1||Standard Error for Gross Primary Production, calculated from up to 40 half-hourly GPP_NT_CUT versions as (SD(GPP_NT_CUT) / SQRT(40))||(FC)(NEE)
GPP_NT_CUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Gross Primary Production versions, from Nighttime partitioning method (GPP_NT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
RECO_DT_VUT_REF||�molCO2 m-2 s-1||Ecosystem Respiration, from Daytime partitioning method,most representative realization across up to 40 RECO_VUT versions using model efficiency approach (MEF).||(FC)(NEE)
RECO_DT_VUT_USTAR50||�molCO2 m-2 s-1||Ecosystem Respiration, from Daytime partitioning method, based on NEE_VUT_USTAR50||(FC)(NEE)
RECO_DT_VUT_MEAN||�molCO2 m-2 s-1||Ecosystem Respiration, from Daytime partitioning method, average from up to 40 half-hourly RECO_DT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
RECO_DT_VUT_SE||�molCO2 m-2 s-1||Standard Error for Ecosystem Respiration, calculated from up to 40 half-hourly RECO_DT_VUT versions as (SD(RECO_DT_VUT) / SQRT(40))||(FC)(NEE)
RECO_DT_VUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Ecosystem Respiration versions, from Daytime partitioning method (RECO_DT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
RECO_DT_CUT_REF||�molCO2 m-2 s-1||Ecosystem Respiration, from Daytime partitioning method,most representative realization across up to 40 RECO_CUT versions using model efficiency approach (MEF).||(FC)(NEE)
RECO_DT_CUT_USTAR50||�molCO2 m-2 s-1||Ecosystem Respiration, from Daytime partitioning method, based on NEE_CUT_USTAR50||(FC)(NEE)
RECO_DT_CUT_MEAN||�molCO2 m-2 s-1||Ecosystem Respiration, from Daytime partitioning method, average from up to 40 half-hourly RECO_DT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
RECO_DT_CUT_SE||�molCO2 m-2 s-1||Standard Error for Ecosystem Respiration, calculated from up to 40 half-hourly RECO_DT_CUT versions as (SD(RECO_DT_CUT) / SQRT(40))||(FC)(NEE)
RECO_DT_CUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Ecosystem Respiration versions, from Daytime partitioning method (RECO_DT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_DT_VUT_REF||�molCO2 m-2 s-1||Gross Primary Production, from Daytime partitioning method,most representative realization across up to 40 GPP_VUT versions using model efficiency approach (MEF).||(FC)(NEE)
GPP_DT_VUT_USTAR50||�molCO2 m-2 s-1||Gross Primary Production, from Daytime partitioning method, based on NEE_VUT_USTAR50||(FC)(NEE)
GPP_DT_VUT_MEAN||�molCO2 m-2 s-1||Gross Primary Production, from Daytime partitioning method, average from up to 40 half-hourly GPP_DT_VUT versions, each from corresponding NEE_VUT version||(FC)(NEE)
GPP_DT_VUT_SE||�molCO2 m-2 s-1||Standard Error for Gross Primary Production, calculated from up to 40 half-hourly GPP_DT_VUT versions as (SD(GPP_DT_VUT) / SQRT(40))||(FC)(NEE)
GPP_DT_VUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Gross Primary Production versions, from Daytime partitioning method (GPP_DT_VUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
GPP_DT_CUT_REF||�molCO2 m-2 s-1||Gross Primary Production, from Daytime partitioning method,most representative realization across up to 40 GPP_CUT versions using model efficiency approach (MEF).||(FC)(NEE)
GPP_DT_CUT_USTAR50||�molCO2 m-2 s-1||Gross Primary Production, from Daytime partitioning method, based on NEE_CUT_USTAR50||(FC)(NEE)
GPP_DT_CUT_MEAN||�molCO2 m-2 s-1||Gross Primary Production, from Daytime partitioning method, average from up to 40 half-hourly GPP_DT_CUT versions, each from corresponding NEE_CUT version||(FC)(NEE)
GPP_DT_CUT_SE||�molCO2 m-2 s-1||Standard Error for Gross Primary Production, calculated from up to 40 half-hourly GPP_DT_CUT versions as (SD(GPP_DT_CUT) / SQRT(40))||(FC)(NEE)
GPP_DT_CUT_XX||�molCO2 m-2 s-1||XXth percentile from up to 40 half-hourly Gross Primary Production versions, from Daytime partitioning method (GPP_DT_CUT) with XX = 05, 16, 25, 50, 75, 84, 95||(FC)(NEE)
